"respondent_id","role","company_size","current_plan","usage_frequency","overall_satisfaction","feature_importance_security","feature_importance_team_mgmt","feature_importance_reporting","feature_importance_pricing","enterprise_interest","nps_score","what_would_make_you_leave","enterprise_interest_detail"
"R036","Engineer/Developer","201-500","Team","Daily","5","3","5","4","4","5","8","Switching tools is always painful so probably nothing minor.","Would love better reporting across teams."
"R037","Team Lead","201-500","Team","Daily","4","3","5","3","5","5","10","We're pretty locked in at this point tbh.","Would like to see tiered pricing for different user types."
"R038","Engineer/Developer","201-500","Team","Several times/week","5","4","5","3","4","4","7","Stop changing the UI every month. Let us get used to features before redesigning them.","Interested in anything that helps manage larger teams."
"R039","Project Manager","1000+","Business","Daily","4","3","5","3","3","5","7","idk","Interested"
"R040","Designer","201-500","Team","Daily","1","4","4","2","3","5","3","Improved notifications. Current ones are noisy.","We'd use enterprise features for our contractor management."
"R041","Engineer/Developer","11-50","Free","Monthly","5","2","4","4","5","2","9","Our whole workflow is built around it. Not going anywhere.","enterprise is for big companies"
"R042","Product Manager","201-500","Team","Several times/week","5","4","4","4","5","4","7","I love TaskFlow but my VP won't approve the per-seat cost for read-only users. It's embarrassing.","The per-seat pricing is killing our adoption. I have 40 engineers who need full access and about 120 stakeholders who just need to view boards and comment occasionally. Can't justify $15/seat for someone who logs in twice a month. Viewer-only pricing or tiered seats would let me roll this out company-wide."
"R043","Team Lead","201-500","Team","Daily","2","3","5","2","3","4","5","Asana Enterprise keeps showing up in competitor comparisons our procurement team runs.","I can see us needing this within the next 6-12 months."
"R044","Product Manager","501-1000","Business","Daily","4","4","5","3","3","5","8","Integration with our CI/CD pipeline. Engineers want to see build status in TaskFlow.","Better integrations and admin controls would be welcome."
"R045","Product Manager","51-200","Team","Several times/week","2","1","3","5","3","3","4","If they get acquired by a company I don't trust.","We evaluated enterprise tools before and they always add complexity we don't want."
"R046","Product Manager","11-50","Free","Weekly","4","4","2","4","3","3","8","Better email integration. Current one is clunky.",""
"R047","Team Lead","11-50","Free","Weekly","1","2","5","2","3","2","0","N/A",""
"R048","Engineer/Developer","51-200","Trial (expired)","Monthly","5","4","4","5","5","4","8","","Cross-team visibility is killing us. I'm a VP and I spend Friday afternoons manually pulling data from 6 different TaskFlow workspaces to build a portfolio status report in Google Sheets. If you built executive dashboards with rollup views, I'd move our whole org (200+ seats) to the enterprise tier immediately."
"R049","Engineer/Developer","11-50","Free","Daily","3","3","3","2","4","2","8","",""
"R050","Engineer/Developer","201-500","Team","Weekly","4","4","5","5","5","5","7","?","We need custom reporting that I can share with our board. Right now I export CSV data and build charts in Sheets — it's embarrassing for a tool we pay $12k/year for. Burndown charts across multiple teams, velocity tracking, resource utilization — these should be standard at our price point."
"R051","Engineer/Developer","11-50","Free","Weekly","4","3","3","3","5","3","6","If the community forums die. That's where I get half my workflow ideas.","not for us"
"R052","Project Manager","51-200","Trial (expired)","Daily","3","5","5","3","4","4","7","If the price goes up again without new features, we'll reconsider.","I think SOC2 compliance would help us sell this tool internally."
"R053","Engineer/Developer","501-1000","Business","Several times/week","3","4","4","3","4","5","5","","Looking for better ways to manage teams across departments."
"R054","Engineer/Developer","51-200","Trial (expired)","Rarely","3","3","5","2","4","4","6","If they removed features we depend on.","Would be interested in a trial of enterprise features."
"R055","Designer","201-500","Team","Daily","5","4","5","3","5","5","8","n/a","Flexible pricing is the #1 thing holding us back from full enterprise adoption. We need maybe 30 power users and 200 light users. Paying the same rate for both makes zero financial sense. I've proposed TaskFlow to leadership 3 times and pricing is always the blocker."
"R056","Product Manager","201-500","Team","Daily","3","4","5","5","3","5","6","","Anything that makes cross-team collaboration easier would be great."
"R057","Designer","11-50","Free","Weekly","1","2","4","3","3","2","4","We've got integrations with Slack, GitHub, and Figma all running through TaskFlow. Ripping that out would be brutal.","Our team is 8 people and we just need basic task management."
"R058","Team Lead","201-500","Team","Monthly","3","4","4","4","3","5","4","If Notion ever gets proper project management, that could pull us away.","might be helpful"
"R059","Engineer/Developer","51-200","Team","Monthly","5","5","3","3","4","4","10","idk lol","We'd upgrade to Business in a heartbeat if you offered volume pricing. At 85 seats, we're looking at $15k/year which is a tough sell internally. Monday.com offered us a 30% discount for annual commitment. I want to stay with TaskFlow but need to be able to make the business case."
"R060","Product Manager","11-50","Free","Daily","3","3","4","4","5","2","5","Jira's new interface is actually decent now and it already has everything our compliance team needs.",""
"R061","VP/Director","201-500","Team","Daily","3","4","4","3","3","5","8","Not thinking about leaving.","N/A"
"R062","Product Manager","11-50","Free","Several times/week","5","3","2","5","4","2","9","Linear's velocity tracking is tempting.",""
"R063","Engineer/Developer","1-10","Free","Several times/week","5","3","3","3","4","1","9","Stability. If they start having frequent outages I'm out.",""
"R064","Product Manager","201-500","Team","Daily","3","4","5","4","5","5","7","Need better calendar sync.","Our team grew from 20 to 55 this year and the flat permission model doesn't work anymore. We need tiered roles — admin, team lead, member, viewer at minimum. I've been asking support about this quarterly and keep getting 'it's on the roadmap.' Would pay significantly more for it."
"R065","Other","51-200","Team","Weekly","3","2","5","3","3","3","8","Resource management / capacity planning. Flying blind on team workload.","overkill for our team"
"R066","Designer","1000+","Business","Several times/week","4","5","4","4","5","5","10","The product is great but I'm tired of fighting internal battles to keep it. Leadership wants 'enterprise-grade' tools.","We have 12 product teams using TaskFlow in separate workspaces and it's an absolute mess. No way to manage permissions centrally, no way to share templates across workspaces, and every new hire needs to be manually added to 4-5 different spaces. Would gladly pay for a proper multi-team admin console."
"R067","Team Lead","1-10","Free","Daily","3","2","4","3","4","1","6","Asana's portfolio feature is exactly what I've been asking TaskFlow for.","Too much overhead for a small startup like ours."
"R068","Engineer/Developer","51-200","Team","Several times/week","4","3","4","2","1","4","8","Our whole agile process is built on TaskFlow. Not switching anytime soon.",""
"R069","Team Lead","1000+","Business","Weekly","4","4","4","2","4","5","8","Better burndown charts.","Would definitely consider an enterprise plan if the price was right."
"R070","Product Manager","11-50","Free","Weekly","5","3","5","4","5","2","9","nothing","our team is tiny"
"R071","Project Manager","1000+","Business","Weekly","5","4","4","3","4","5","9","If Asana drops their enterprise pricing, that could sway us.",""
"R072","Project Manager","11-50","Free","Daily","1","3","4","2","4","2","2","I'd love more keyboard shortcuts.","no need"
"R073","Product Manager","51-200","Team","Several times/week","4","3","4","3","3","4","6","Haven't thought about it.","We'd upgrade if role-based permissions were available."
"R074","Team Lead","501-1000","Business","Daily","5","4","5","2","3","5","8","dunno","Our compliance requirements are getting stricter each year."
"R075","Designer","51-200","Team","Daily","3","4","4","2","4","3","5","Real-time collaboration improvements.",""
"R076","Designer","11-50","Free","Weekly","4","2","4","3","4","2","7","Honestly the switching costs keep us here more than anything else. Too much institutional knowledge in our setup.","wouldn't use it"
"R077","Project Manager","501-1000","Business","Several times/week","3","5","5","4","4","5","7","I've pitched expanding TaskFlow three times. Each time, finance rejects it because of per-seat costs for occasional users.","Would help with our annual security review process."
"R078","Product Manager","51-200","Team","Weekly","4","1","3","5","1","3","6","Would need a really compelling reason to switch.",""
"R079","Product Manager","51-200","Team","Daily","4","3","4","4","1","3","9","Probably price increases without corresponding value.","not relevant for us"
"R080","C-Suite/Executive","51-200","Team","Daily","5","5","4","3","1","4","9","Calendar view needs work. Can't see cross-project deadlines in one place.","would check it out"
"R081","Project Manager","51-200","Team","Monthly","5","2","4","4","3","4","8","nothing","Would like custom roles for our org structure."
"R082","Engineer/Developer","11-50","Free","Daily","4","2","3","3","3","2","8","Nothing I can think of right now.",""
"R083","Engineer/Developer","201-500","Team","Daily","3","4","5","4","3","5","8","All our documentation references TaskFlow task IDs. Migration would break everything.",""
"R084","Project Manager","51-200","Team","Monthly","4","4","5","4","1","4","9","Honestly, inertia keeps us here. Make it easy to leave and we'd probably look around.","Per-workspace guest access would be huge for us. We work with 6 external agencies and right now we either give them full access (security risk) or maintain a separate Trello board (defeats the purpose). Need granular roles badly."
"R085","Designer","1000+","Business","Daily","4","3","4","4","4","5","8","nah we're good","I run a PMO supporting 8 product teams (~90 people). We desperately need workspace-level roles so I can give team leads admin access to their space without giving them access to everything. Currently I'm the bottleneck for every permission change and it's unsustainable."
"R086","Product Manager","51-200","Team","Several times/week","5","3","4","3","4","4","7","Our entire sprint process is built on TaskFlow. Retraining the team would set us back at least a quarter.","We'd benefit from more granular access controls."
"R087","Engineer/Developer","201-500","Team","Rarely","4","5","5","3","3","5","10","I recommend TaskFlow to every team but can't get org-wide adoption without volume pricing. It's a tough sell.","SSO integration would simplify things for our IT department."
"R088","Engineer/Developer","11-50","Free","Monthly","5","1","3","2","5","2","8","all good",""
"R089","Product Manager","51-200","Team","Daily","5","3","5","5","3","4","9","Privacy concerns if they start using our data for AI training without consent.","Analytics and reporting are the biggest gap. We need to track cycle time, lead time, throughput across teams — not just within a single board. Our engineering leadership is pushing for Linear specifically because of their insights features. I'd rather stay with TaskFlow but need comparable analytics."
"R090","Project Manager","201-500","Team","Daily","3","3","4","3","4","5","8","If another tool offered better AI features.","Would appreciate volume discounts for larger deployments."
"R091","Engineer/Developer","11-50","Free","Several times/week","5","3","3","3","3","2","8","My team loves it but our new CTO wants everything consolidated under tools with enterprise support.",""
"R092","Designer","1000+","Business","Daily","3","5","4","4","4","5","7","","Our IT team has asked about SSO a few times."
"R093","Designer","201-500","Team","Rarely","4","4","5","2","3","5","9","Offline mode. Lose work constantly when internet drops in our office.",""
"R094","Project Manager","201-500","Team","Monthly","5","5","4","2","4","5","8","We've invested so much time customizing our boards. Starting over isn't really an option.","Our security team keeps asking if you have SSO."
"R095","Project Manager","51-200","Team","Daily","3","1","4","4","3","4","8","If they go public and start prioritizing shareholders over users.","yes"
"R096","Product Manager","501-1000","Business","Daily","5","4","4","3","4","5","10","Integration with Salesforce would be huge for us.",""
"R097","Designer","201-500","Business","Several times/week","5","5","5","2","4","5","9","Pass.","Audit logs would be handy for our quarterly reviews."
"R098","VP/Director","1-10","Free","Several times/week","4","5","4","4","5","1","7","If Linear ships better project management features, we'd probably switch.",""
"R099","Engineer/Developer","51-200","Team","Daily","4","3","4","2","4","4","7","","I've been meaning to look into what enterprise options exist."
"R100","VP/Director","51-200","Team","Daily","4","4","4","5","4","4","10","If Height or Linear adds portfolio views, I'd have a hard time arguing against switching.","We're getting to the size where enterprise features would help."
"R101","Product Manager","11-50","Free","Daily","4","2","4","4","4","2","7","Three departments depend on our TaskFlow setup. Coordinating a migration across all of them would be a logistical nightmare.",""
"R102","Engineer/Developer","201-500","Team","Daily","4","3","4","3","4","5","10","Probably nothing, we're pretty happy.","sure"
"R103","Engineer/Developer","51-200","Team","Daily","5","4","4","3","4","4","8","Monday.com keeps coming up in conversations with leadership. They have a stronger enterprise story.","Our security team flat-out blocked the company-wide rollout last quarter because TaskFlow doesn't support SAML SSO. We're a 200-person org and they won't approve any tool without it. I've been pushing for this for 6 months — if you shipped SSO and SOC2 compliance, I could get budget approved by end of Q2."
"R104","Engineer/Developer","51-200","Team","Daily","3","3","5","4","3","4","4","ClickUp offered us a massive discount. Hard to say no if TaskFlow doesn't add enterprise features.","I think our team leads have been asking for role-based access."
"R105","Project Manager","51-200","Team","Weekly","5","4","4","4","1","4","9","Reliability — we've had 3 outages this quarter.","SSO and SCIM would simplify our IT workflows."
"R106","Engineer/Developer","1-10","Free","Daily","2","4","3","3","3","1","3","Better webhook reliability. We've had missed events.",""
"R107","Product Manager","51-200","Team","Daily","1","3","3","4","3","4","1","Linear Linear Linear. My engineers won't stop talking about it.","Basic enterprise features would tip the scales for us."
"R108","VP/Director","11-50","Free","Weekly","5","5","3","4","4","2","8","Honestly? If a competitor offered free migration I'd at least look.",""
"R109","Product Manager","51-200","Team","Daily","4","5","4","3","2","4","8","Support response times. Waited 5 days last time.","We went through a security incident last year and our new CTO mandated SSO for every SaaS tool. No exceptions. I love TaskFlow and have been the internal champion for two years, but if you don't ship SSO by Q3, I'll have to migrate us to Jira — which nobody wants."
"R110","Product Manager","201-500","Business","Several times/week","2","4","4","5","3","5","3","Just keep improving the product honestly. As long as progress continues I'm happy.","could be useful"
"R111","Team Lead","51-200","Team","Daily","4","4","5","4","5","4","9","We're a Monday.com shop that's been testing TaskFlow. Could go either way.","I love TaskFlow but honestly the pricing doesn't scale. We're a 500-person company and only 60 people have seats because we can't afford to give everyone access. This means half the org is out of the loop and we end up duplicating info in email and Slack. Would pay more per power user if casual users were cheap or free."
"R112","Engineer/Developer","51-200","Team","Daily","4","2","5","2","2","4","8","Dependencies and critical path. Can't do proper project planning without it.","More robust user management would be very welcome."
"R113","Product Manager","51-200","Team","Several times/week","4","3","4","5","3","4","8","Custom fields and better filtering. The current options are too basic.",""
"R114","Engineer/Developer","1-10","Free","Several times/week","5","3","4","2","4","1","8","Custom statuses per project. One size doesn't fit all.","not at this stage"
"R115","Product Manager","1000+","Business","Several times/week","5","3","5","4","3","5","10","Time tracking integration. Having to use a separate tool is annoying.","sounds good"
"R116","VP/Director","11-50","Free","Rarely","4","4","3","5","4","2","8","We've been getting demos from Linear and their analytics are impressive. Could see us switching.","Honestly we barely use the features we have now."
"R117","Engineer/Developer","501-1000","Business","Monthly","4","4","5","3","3","5","10","Custom dashboards. One size doesn't fit all for different roles.","Our org is growing and we'll probably need this stuff soon."
"R118","Engineer/Developer","201-500","Business","Daily","5","3","4","4","3","5","10","?",""
"R119","Team Lead","501-1000","Business","Several times/week","2","4","5","2","4","5","5","Annual pricing discounts would help a lot.","Interested"
"R120","Designer","51-200","Team","Several times/week","5","4","3","3","4","4","9","Better Figma integration.","yes"
"R121","C-Suite/Executive","501-1000","Business","Several times/week","4","4","4","4","3","5","9","nothing",""
"R122","Other","201-500","Team","Daily","3","4","3","3","4","5","7","no comment",""
"R123","Project Manager","51-200","Team","Weekly","4","5","5","3","5","4","9","Probably couldn't leave even if I wanted to. Too much invested.","Managing permissions across our 150-person org is becoming a full-time job. We need organizational units, team-based defaults, and the ability to bulk-manage access. I spend about 4 hours a week just on TaskFlow admin. We'd easily pay $20/user/month for proper team management."
"R124","Other","51-200","Team","Daily","5","4","3","2","2","4","9","A significant outage that lost our data.","Interested"
"R125","Engineer/Developer","51-200","Team","Several times/week","3","2","4","4","1","4","7","A major data breach.",""
"R126","VP/Director","51-200","Team","Several times/week","5","5","4","5","1","4","6","If they increased prices significantly.","The business plan is close but missing a few key features for us."
"R127","Designer","201-500","Team","Several times/week","4","4","4","4","3","5","8","Jira is terrible UX but at least it has the enterprise features our IT team wants.","A proper admin console would be a nice improvement."
"R128","Engineer/Developer","51-200","Team","Weekly","4","5","5","4","4","4","9","N/A","Enterprise security features would help us pass our next audit."
"R129","Designer","51-200","Team","Daily","4","2","3","3","1","4","8","My manager doesn't see the value. I'm fighting to keep it.","Enterprise features are on our wishlist for next quarter."
"R130","Designer","51-200","Team","Daily","3","4","4","2","3","4","6","","Would consider enterprise if it included SSO and better roles."
"R131","Designer","51-200","Team","Several times/week","4","5","4","4","3","4","8","","Compliance is becoming more of a focus for us this year."
"R132","Other","1-10","Free","Weekly","4","1","4","3","4","1","7","The mobile experience needs serious work.",""
"R133","Product Manager","51-200","Team","Daily","5","1","3","3","3","4","9","I convinced 3 teams to adopt TaskFlow, can't exactly walk that back.","yes"
"R134","Product Manager","1000+","Business","Daily","4","3","4","4","3","5","8","I've seen what tool migrations look like — 3 months of chaos. Not worth it unless TaskFlow really drops the ball.","yeah"
"R135","Engineer/Developer","201-500","Team","Monthly","4","5","5","3","5","5","9","We're evaluating annual contracts so we're committed for a while.","I manage a 45-person product org across 3 time zones. Our CISO has been asking for audit trail functionality and SSO integration with our Okta setup. We're currently evaluating Asana Enterprise specifically because they have these. If TaskFlow added enterprise-grade security, we wouldn't need to switch — and honestly switching would cost us probably $80k in productivity loss."
"R136","Product Manager","51-200","Team","Daily","4","2","5","5","1","4","9","Too much data history to move. We reference old projects constantly.","We need better ways to control who sees what."
"R137","Engineer/Developer","501-1000","Business","Daily","5","3","5","4","4","5","8","not sure","Interested"
"R138","Engineer/Developer","51-200","Team","Weekly","3","3","4","2","3","4","7","don't know","An enterprise tier could be interesting depending on what's included."
"R139","Product Manager","501-1000","Business","Daily","5","3","5","3","3","5","8","not sure","We've outgrown the current permission model a bit."
"R140","Engineer/Developer","501-1000","Business","Daily","5","4","5","3","5","5","9","Our engineering team keeps lobbying for Linear. The only thing keeping us is project history.","We're in healthcare and need to meet HIPAA requirements. Right now we can't even get data residency confirmation from your team. Our compliance officer wants audit logs for every action taken in the system. We'd happily pay $45/seat/month if it meant we could consolidate from our current 3-tool stack."
"R141","Designer","11-50","Free","Daily","5","3","5","3","5","3","9","","We're a 5-person team, enterprise is overkill for us."
"R142","Team Lead","501-1000","Business","Daily","4","3","4","5","4","5","9","I use TaskFlow for everything. It'd have to really mess up for me to leave.","Portfolio-level views would make my job much easier."
"R143","VP/Director","11-50","Free","Daily","3","4","4","3","4","3","6","More customization options for workflows.",""
"R144","Product Manager","1-10","Free","Rarely","2","2","3","3","4","1","3","Need proper OKR tracking built in.","happy with current plan"
"R145","VP/Director","501-1000","Business","Daily","1","4","5","5","4","5","2","If a clearly better alternative showed up at the same price.","Multi-team management would definitely be useful."
"R146","Project Manager","1-10","Free","Several times/week","5","3","4","3","4","2","9","","I just use TaskFlow for personal project tracking, enterprise doesn't apply."
"R147","Engineer/Developer","201-500","Business","Daily","4","3","4","3","4","5","7","Great product, but without SOC2 I can't even get it on our approved vendor list.","possibly"
"R148","Product Manager","201-500","Business","Daily","5","4","5","3","4","5","10","The tool sells itself to ICs but procurement wants compliance certifications we can't provide.","N/A"
"R149","Project Manager","51-200","Team","Monthly","4","3","4","4","3","4","10","Forms and intake workflows. Currently using Google Forms and manually creating tasks.","Cross-team reporting would save me a lot of time each week."
"R150","Product Manager","11-50","Free","Daily","2","3","4","5","5","3","3","Nothing specific — generally happy.","way too much for what we need"
"R151","Product Manager","201-500","Business","Weekly","5","4","5","4","3","5","9","","sure why not"
"R152","Project Manager","51-200","Team","Weekly","5","4","4","3","1","4","8","Better accessibility features. Some of our team members struggle with the current UI.","Interested in seeing what's planned for larger organizations."
"R153","Engineer/Developer","501-1000","Business","Weekly","5","5","4","2","4","5","9","","Would be nice for compliance reasons."
"R154","Engineer/Developer","11-50","Free","Several times/week","4","4","4","4","3","3","9","Can't really leave — too much history.","not interested"
"R155","Designer","501-1000","Business","Daily","5","4","4","4","3","5","10","Better onboarding for new team members.","maybe"
"R156","Product Manager","11-50","Free","Daily","5","3","4","4","5","3","7","Not thinking about leaving.","pass"
"R157","Engineer/Developer","51-200","Team","Monthly","4","4","5","4","3","4","10","The lack of custom fields is really limiting.","Some kind of admin dashboard would be great."
"R158","Product Manager","201-500","Team","Daily","3","3","5","4","4","5","8","Monday.com gave us a pilot for their enterprise tier. It has stuff TaskFlow doesn't.","Interested"
"R159","Designer","501-1000","Business","Daily","5","3","5","2","3","5","8","Nothing comes to mind.","sure"
"R160","Designer","11-50","Free","Daily","4","3","4","3","5","3","7","nothing tbh",""
"R161","Product Manager","1000+","Business","Several times/week","5","3","4","4","3","5","9","Our QA process depends on TaskFlow integrations. Switching would mean rebuilding all of that.","yes"
"R162","Engineer/Developer","11-50","Free","Daily","3","3","3","4","4","3","6","Need proper milestone tracking.",""
"R163","C-Suite/Executive","1000+","Business","Several times/week","1","4","5","4","3","5","0","We built custom templates and workflows over 18 months. That's not portable.","Would be helpful for onboarding new team members more efficiently."
"R164","Engineer/Developer","51-200","Team","Daily","2","4","5","2","3","4","5","No plans to leave.","Interested"
"R165","Engineer/Developer","1000+","Business","Weekly","3","3","4","2","3","5","7","Sprint analytics that actually help with estimation.",""
"R166","Product Manager","11-50","Free","Several times/week","5","4","3","5","5","3","7","Workload management / capacity planning.",""
"R167","Engineer/Developer","201-500","Team","Weekly","1","4","5","3","4","5","1","Better Gantt charts or timeline views. The current one is pretty bare bones.","We manage multiple teams and better workspace tools would help."
"R168","VP/Director","1-10","Free","Several times/week","3","3","4","4","4","1","6","I championed this tool internally and now my reputation is tied to it.","too small for that"
"R169","C-Suite/Executive","51-200","Team","Daily","2","5","4","3","4","4","1","",""
"R170","Engineer/Developer","51-200","Team","Several times/week","5","3","4","2","3","4","8","I personally love the tool but my manager keeps asking why we aren't on Jira like everyone else.",""
"R171","VP/Director","51-200","Team","Weekly","2","5","4","5","3","4","3","All of our workflows and automations are built around TaskFlow. Migration would take months.","Our team is growing and the current setup is getting harder to manage."
"R172","Product Manager","51-200","Team","Daily","3","2","4","4","3","4","8","can't think of anything","maybe"
"R173","Team Lead","51-200","Team","Rarely","5","4","4","2","1","4","7","API improvements. Our developers spend too much time working around limitations.","Could use better user management as we scale up."
"R174","Engineer/Developer","201-500","Business","Daily","2","4","3","2","3","5","3","",""
"R175","VP/Director","501-1000","Business","Several times/week","4","4","5","3","3","5","10","More transparent roadmap communication.","Setting up each new hire manually is painful. SSO would make team onboarding so much smoother — right now it takes our team lead about 30 minutes per person to get access right, and we hire 3-4 people a month. It's not a security thing for us, it's pure efficiency."
"R176","Product Manager","11-50","Free","Weekly","1","2","3","4","4","3","2","not sure","I work at a 12-person agency, enterprise pricing would just price us out."
"R177","Product Manager","11-50","Free","Weekly","3","2","2","4","4","3","4","Can't think of specifics. Generally satisfied.","Would rather see improvements to the core product than enterprise bells and whistles."
"R178","Engineer/Developer","51-200","Team","Daily","3","3","4","2","3","4","7","nothing","looks interesting"
"R179","Project Manager","501-1000","Business","Monthly","5","3","4","2","4","5","7","Better mobile app. It's barely functional compared to desktop.","Better access controls would help with our external collaborators."
"R180","Engineer/Developer","51-200","Team","Daily","5","3","4","4","4","4","8","I'd leave if they raise prices without adding the features we've been requesting.","Our department is expanding and we'll need better controls."
"R181","Product Manager","51-200","Team","Weekly","5","1","4","3","5","4","9","","Enterprise features would help justify the cost to leadership."
"R182","Engineer/Developer","201-500","Business","Several times/week","5","4","3","2","4","5","7","More advanced automations.","We've been looking at what enterprise options are available."
"R183","C-Suite/Executive","201-500","Business","Daily","4","3","4","5","4","5","10","Fine for now.","The workspace model breaks down at scale. We tried using one workspace per department but then lost cross-functional visibility. Tried one big workspace but the noise was unmanageable. Need a proper multi-team architecture — Asana and Monday both handle this better right now."
"R184","Team Lead","11-50","Team","Monthly","4","2","4","2","4","3","10","Saw a demo of Height last week that was pretty impressive.","not a priority"
"R185","Team Lead","201-500","Business","Several times/week","2","3","4","4","3","5","4","A competitor that offers free migration would be scary.","yes"
"R186","VP/Director","11-50","Trial (expired)","Daily","2","4","4","4","4","3","4","","we're fine as is"
